text,label
주소,1
시행일자,1
슬로건,1
기안자,1
담당자,1
검토자,1
첨부파일,1
문서번호,1
검토일,1
협조 참조,1
공개여부,1
이름,1
연락처,1
보존기간,1
관련 기관,1
관련 문서 번호,1
제목,1
서명,1
직위,1
김해름,0
아름답게 시민을 행복하게,0
경남 김해시 부원동 623 우)621-701,0
전화 (행) 448-1 (일:0525)330-3448 / 3434,0
과장 : 허성곧 (도시개발담당주사: 김혼립),0
최성만,0
도시58420-551,0
30년,0
1999년 9월 3일,0
(경 유),0
최성판 (담당주사: 긴통립),0
도시계획과장,0
3명 (명칭 미상),0
24일 (날짜 미상),0
진영지구택지개발 예정지구 지정변경 및 개발계획승인에 따른 의견 회신,0
경남도 도시58540-10952 ('99. 9. 17)호,0
진영지구 택지개발 예정지구 지정변경 및 개발계획승인 관련 협의 의견 1부,0
김해 시 장,0
기안자,1
제목,1
전화번호,1
주소,1
부서,1
시,1
김,1
문서번호,1
공개여부,1
국장,1
성,1
심사일,1
보존기간,1
담당주사,1
슬로건,1
심사자,1
관련문서번호,1
협조,1
해,1
담당자,1
이름,1
첨부파일,1
시장,1
시행일자,1
김해름,0
아름답게 시민을 행복하게,0
김해시 부원동 623,0
448-1330 (일: 0525),0
도시개발담당주사 (장: 허성곧),0
최성만,0
도시58420-551,0
30년,0
1999년 9월 3일,0
(경 유),0
김해시 시장,0
경상남도지사,0
최성판,0
긴통립,0
도시계획과장,0
심사자 (3 @),0
24일,0
진영지구택지개발 예정지구 지정변경 및 개발계획승인에 따른 의견 회신,0
경남도 도시58540-10952('99. 9. 17)호,0
진영지구 택지개발 예정지구 지정변경 및 개발계획승인 관련 협의 의견 1부,0
주의사항,1
연락처,1
주소,1
부서명,1
최종담당자,1
회신기한,1
협의자,1
전화번호,1
내용,1
경남 창원시 사림동 1,0
도시계획과,0
정경섭,0
한국토지공사 경남지사장,0
진영지구 택지 개발사업 예정지구지정 변경 및 개발계획 승인 신청에 대한 협의 요청,0
'99. 9. 29까지,0
5년 경과 후 개발계획 고시 미진행 시 실효 사전 협의 및 주민 의견 수렴 필요,0
related_article,1
implementing_officer,1
issuing_department,1
section_a,1
reference,1
related_document_number,1
mission,1
document_number,1
distribution,1
title,1
주환58510,0
1989년 9월,0
수신 (경상남도지사),0
노시개 회과장,0
김해신영 택지개발예정지구 관련 회신,0
도시58510-10944(99. 9.17)호,0
대지개만임무 추진,0
김해 택지개발 예정지구의 대지개발 진입 시행계획 제18조 제2항에 따른 기한 내 넥스트케어웨이 승인 고시 미이행 시 해제 조치,0
돼지개발추진법 부칙 제2조 (의기 지구 지정일로부터 5년 이내 넥스트케어웨이 승인 고시 미이행 시 해제),0
건설교통부 주거환경과 과장 강성식,0
조건부승인사항,1
제목,1
재협의요청내용,1
다,1
나,1
문서번호,1
관련문서번호,1
번호,1
연관문서,1
가,1
평가,1
시행일자,1
주요내용,1
라,1
부가전화번호,1
전화번호,1
(02) 504-9286,0
504-9280,0
67120 - 372,0
1994-07-04,0
택지개발예정지구 지정 (안) 재협의 회신,0
택지개발 예정지구 지정 관련 문서들,0
준공업지역 인접로 택지개발에 바람직하지 않음,0
주거환경 및 생활환경 피해 저감 방안 (녹지 및 공원 설치 상업 시설 배치 등),0
오수 처리 계획 (사업 이전 계획 수립 필요),0
소음 방지 대책 수립,0
토사 유출 방지 대책 강구,0
recycling,1
energy_utilization,1
storage,1
required_by,1
sub_key,1
collection,1
strategy,1
required,1
treatment,1
measures,1
regulation,1
폐기물관리법,0
규정에 의거,0
자원재활용 기본계획에 의거 재활용가능품 수집,0
재활용 가능품을 위한 보관장소 확보 필요,0
소각 폐기물 열은 가능한 경우 주택 난방 활용 고려,0
환경영향평가법에 따른 환경영향평가 의무 대상 사업,0
환경영향평가 협의결과에 따른 구체적인 환경오염 저감 대책 수립 및 시행 필요,0
supervisor,1
department_manager,1
address,1
department_head,1
disposition,1
basis,1
preservation_period,1
document_number,1
support,1
fax,1
related_document_number,1
contact_person,1
auditor,1
item_1,1
contact,1
name,1
executive_director,1
president,1
related_agencies_comments,1
reference,1
draftsman,1
company_info,1
area,1
item_2,1
chairman,1
phone,1
title,1
chief_officer,1
comment,1
vice_chairman,1
implementation_date,1
택기(업2) 1613-15,0
부서장 전결사항,0
1994년 6월 (정확한 날짜 미지),0
,0
,0
,0
,0
,0
,0
,0
,0
이명국,0
택지개발 과장,0
,0
,0
10년,0
,0
택지개발예정지구 지정에 따른 관계기관의 의견 보완자료 제출,0
택기(업2) 1613-80('94 6.2) 호와 관련,0
김해진영지구,0
협의의견 중 환경처 의견에 대해 별도 검토의견 및 조치 계획 재검토하여 보완자료 추가 제출 요청,0
한국토지개발공사,0
서울시 강남 삼성 35-701,0
(02) 550-7274,0
(02) 544-1944,0
이명국,0
택기(업2) 1613-80('94 6.2) 호,0
기안자,1
제목,1
근거,1
주소,1
담당,1
전송,1
관계 내용,1
회사명,1
문서번호,1
수신,1
전화,1
연락처,1
참조,1
취급 및 감사,1
대상,1
안,1
협조,1
날짜,1
전결순서,1
서명 및 관리,1
내용,1
한 국 토 지 개 발 공 사,0
우135-701 서울시 강남 삼성,0
(02)550-7274,0
(02)544-1944,0
이명국,0
택기 (업2) 1613-8,0
위임예규택지3-라,0
1,0
건설부장관 (참조 택지개발과장),0
2,0
경남지사장,0
이명국,0
각안 참조,0
감사 보존 | 10 년,0
협조,0
1,0
김해진영-지구 택지개발 예정지구 지정을 위한 관계부처 협의의견에 대한 검토의견 및 조치계획 제출 특히 환경처 의견에 대한 재협의 요청,0
2,0
경남(업) 1611-1615('94.5.26) 호 및 택지58540-387('94.5.30) 호 관련 회신 통보,0
한 국 토 지 개 발 공 사 사장 택지기획처장전결,0
[빈칸],0
responsible_person,1
road_improvement,1
recipient_department,1
consultation,1
coordination_topic,1
area_development,1
related_document_number,1
regulatory_compliance,1
title,1
document_number,1
referenced_department,1
implementation_date,1
도계 38540-139,0
택지개발예정지구지정을 위한 협의회 회신 (김해\' 진영),0
1994년 4월 9일,0
장 경 환,0
택지개발예정지구 지정 관련 문서 번호 (94.3.16),0
택지개발예정지구 지정 관련 협의,0
국도 및 주변도로 개선 필요성 언급,0
취궁동 생활환경 개선 및 도로 설치 제안,0
